N°,Dénomination,N° RCCM,Activités,Adresses,Type
1,14 FEVRIER,RB/COT 13 B 9578,"IMPORTATION DE PRODUITS  AGROALIMENTAIRES-TEXTILES-MATERIAUX DE  CONSTRUCTION-MATERIELS ELECTRIQUES-LA  QUINCAILLERIE-","QUARTIER DANTOKPA ILOT 531-  03 BP 3727 TEL 97035245",PM
2,2 AO & FILS,"RB/COO/12 B9186  DU220812","COMMERCE : Transports routiers de marchandises - toutes opérations pouvant concerner l'achat, la  vente, l'importation, l'exportation, l'emmagasinage, le  warrantage et le transport de tous produits ,  marchandises.","COTONOU : Kpondéhou 1 - ilot  462 bis - tél : 97272440",PM
3,"2A.S HOUNTONDJI ET  FILS",RB/COT/13 A 16754,"VENTE DE MATERIELS ELECTRIQUES ET  ELECTRONIQUES - PRESSING - DIVERSES  PRESTATIONS DE SERVICES.","QTIER: VEDOKO - ILOT: 1448 -  TEL: 95 46 95 19/ 97 80 01 52",PP
4,2AE HOUSE,"RB/COT/13A17796DU2308 13","COMMERCE : Achat et vente de matériels  d'électricité - vente de matériels électriques - BTP -  matériels et consommables informatiques -  bureautiques - génie civil","COTONOU : Kouhounou - ilot 2226  - parcelle G - Tél : 97966691",PP
5,2B PRESTATIONS,RB/COT/13 A 17292,"BTP - ASSAINISSEMENT - IMPRIMERIE -  POISSONNERIE - COMMERCE GENERAL ET  DIVERSES PRESTATIONS","QTIER: AGONTINKON - ILOT:  1116 - TEL: 95 95 69 73",PP
6,2EME LIEU,RB/COT/13 A 16565,"BARS - CAFES ET AUTRES DEBITS DE  BOISSONS - RESTAURATION - VENTE DE  PRODUITS D'ENTRETIEN","QTIER: FIFADJI - ILOT: 1915 - 10  BP 1073 - TEL: 97 64 46 52",PP
7,2GMD GROUP,"RB/COT/13B10498  DU130913","COMMERCE : Achat, vente, importation et  exportation de véhicules d'occasion - pneus - pièces  détachées et de motos","COTONOU : Cadjèhoun II - ilot 789  - parcelle A - Tél : 97378362",PM
8,2HF - SERVICES,"RB/COT/13B10302  DU180713","COMMERCE : Importation et exportation de tous  produits - matériels et objets non prohibés  notamment de véhicules automobiles d'occasion -  pneumatiques - pièces détachées pour automobiles  et de matériaux de construction","COTONOU : Fidjrossè Centre - ilot  1691 - parcelle R - Tél : 95860510",PM
9,3 AS TECHNOLOGIES,RB COT 13 A 16471,"ACHAT ET VENTE DE MATERIELS  INFORMATIQUES BUREAUTIQUES- FOURNITURES ET MATERIELS DE BUREAU","QUARTIER SAINT JEAN ILOT 436- E TEL 96748284/66159414",PP
10,3AE,RB/NAT/2013 B 035,"IMPORTATION DE MATERIAUX DE  CONSTRUCTION - MATERIELS ELECTRIQUES -  TOUS TRAVAUX CONSTRUCTION DE RESEAUX  ELECTRIQUES DE BTP ET DE GENIE CIVIL","QTIER: BORIS - YOURE - ILOT:  196 - MAISON HOUNGNIBO -  TEL: 96 99 51 84",PM
"","","",ET DIVERSES MARCHANDISES.,"","",""
"","","",COMMERCE : Importation de matériels bureautiques ,"","",""
578,DAMASH COMPANY LTD,RB/COT/13B10479DU060913,et consommables informatiques - matériaux de construction - BTP - matériels et consommables ,COTONOU : Scoa Gbéto - ilot 261 - parcelle X - Tél : 97 989 638,PM,ATTEREY H. Eric
"","","",médicaux - location de voiture ,"","",""
"","","",L'IMPORTATION ET L'EXPORATION? ,"","",""
"","","",IMPORTATION DE TOUS PRODUITS - SERVICES ,"","",""
579,DAMILOLA,RB/COT/12 B 9480,ET FOURNITURES - PRESTATIONS DE SERVICES DE TOUS GENRES - IMPLANTATION ,QTIER: GBEGAMEY - ILOT: 923 - 01 BP 3946 - TEL: 96 47 55 55,PM,DOSSA GBELIHO DANIEL
"","","",DE SOCITES ETRANGERES SUR LE TERRITOIRE ,"","",""
"","","",DU BENIN ,"","",""
"","","",Achat et vente de produits tropicaux et autres ,"","",""
580,DANIX COMPAGNIE,RB/COT/13 A 17341,produits agricoles - achat et vente d'huile de palme - achat et vente des produits tropicaux - transformation ,Ayélawadjè - ilot 215 - parcelle E - 03 BP 3115 - TEL / 67693066,PP,CHOUBEROUN Djiman Daniel ; Tél : 67693066
"","","",des produits agro alimentaires- commerce général,"","",""
581,DANNY & FILS,RB/COT/13B 10711DU111113,COMMERCE : Achat et vente - importation et exportation de véhicules neufs ou d'occasion - pneus - pièces détachées et autres accessoires ,COTONOU : Tokplégbé - ilot 062 - Tél / 97724925,PM,ATIE DANNY TJAY
"","","",ACHAT ET VENTE DE VETEMENTS - PRET-A- ,"","",""
582,DANS LA GRACE ,RB/COT/13 A 16767,PORTER - INFORMATIQIE ET DIVERSES ,QTIER: DANDJI - ILOT: 589 - TEL: ,PP,AGBAGBE ADJO DODJI 
"","","",PRESTATIONS DE SERVICES.,93 19 45 93,"",LUCIA
583,DARNIKRY,RB/COT/13A 18056DU091013,SERVICE : Toutes activités d'audit - études et conseils - immobilier - BTP - Restauration - commerce général,COTONOU : Suru-léré - Ilot 496 - Tél : 97370261,PP,TIKRY A D 
584,DA'S STORE,RB/COT/13 A 18214DU061113,COMMERCE : Achet et vente de pret à porter - maroquinerie - accessoire de mode - télécommunication - commerce général,COTONOU : Tanto - ilot 633 - parcelle C - Tél / 96075747,PP,DA SILVEIRA A REINE P
"","","",ACHAT ET VENTE DE FRIPERIE-COMMERCE ,QUARTIER BOCOSSI TOKPA ,"",""
585,DAVCO MODERNITY,RB COT 13 A 16451,GENERAL ET DIVERSES PRESTATIONS DE ,ILOT 83-N  01 BP 7762 TEL ,PP,OKORIE DAVID 
"","","",SERVICES.,95793224,"",CHIDIMMA TEL 95793224
"","","",SERVICE : Toutes activités liées à l'étude - conseil - ,"","",50 / 177
586,DECLIC INTER CONSULTING,RB/COT/13 A18177 DU291013,formation et assistance en stratégie - gestion des projets - élaboration et gestion des bases de ,COTONOU : Cité houeyiho - ilot : Bâtiment F3 - Tél : 64 44 58 93,PP,ZEHE Blaise S
"","","",données ,"","",""
587,DECO TRAVAUX,RB/COT/13 A17623 DU230713,SERVICE : Fabrication de tuiles et briques en terre - activités de fabrication d'agglos - briques - pavés - bordures - tous travaux de construction,COTONOU : Zone des Ambassades - ilot 157 - parcelle F - Tél : 95710278,PP,ESSOU Hugues Ahmede né le 01/04/85 à Lagos
"","","",COMMERCE : Achat et vente de matériels ,"","",""
588,DEEN ET FILS ,RB/COT/13 A17577 DU150713,informatiques - bureatique - fournitures scolaires - produits tropicaux - vivriers et forestiers - ,COTONOU : Missèbo - ilot 231 - parcelle K - Tél : 96531737,PP,DEEN Mourid né le 28/09/63 à cotonou
"","","",alimentation générale,"","",""
"","","",IMPORTATION ET VENTE  DE VEHICULES ,"","",""
"","","",AUTOMOBILES D'OCCASION-DE CAMIONS ,"","",""
589,DEEN-SAS,RB PN 13 B 248,D'OCCASION ET PNEUMATIQUES-IMPORTATION ,QUARTIER PORTO/NOVO ,"",""
"","","",ET DISTRIBUTION DE PRODUITS ALIMENTAIRES ,GUEVIE ILOT 172 TEL 96432314,PM,""
"","","",ET AGRO-ALIMENTAIRES-,"","",""
590,DEFI AGRO ,RB/COT/13A17812DU280813,COMMERCE : Achat et vente de produits alimentaires et des boissons - produits SOBEBRA - agroalimentaires - télécommunication - informatique,COTONOU : Missité - ilot 1570 - parcelle B - Tél : 97171155,PP,SONON Yélian Ben O. I. né le 040484 à cotonou
591,DEG FINANCES ,RB/COT/13 A 17325,Transfert d'argent - Assurance - Comptabilité - Diverses prestations de services.,Gbèdomidji - ilot 166 - parcelle K - tél : 90920810 ,PP,GLAHOU Désiré ; Tél : 90 92 08 10
"","","",TRANSPORTS-PRESTATIONS ET ,"","",""
592,DEGUI PLURIELLES,RB COT 13 A 17062,TRANSACTIONS PORTUAIRES-COMMERCE ,QUARTIER SAINT MICHEL ILOT ,"",""
"","","",GENERAL ET DIVERS.,2211-K TEL 97735110,PP,""
"","","",COMMERCE : Importation et exportation de ,"","",""
593,DELHANE,RB/COT/13B10243DU040713,véhicules neufs et d'occasion - commerce général - importation et exportation de produits de toute nature et de toute provenance - distribution de produits ,COTONOU : PK 6 - ILOT 38 - PARCELLE I - Tél : 97481950,PM,GOMINA Fadhel E. E. L. né le 25/07/84 à porto novo
"","","",pétroliers,"","",""
594,DELICES BUSINESS,RB/COT/13B10404DU190813,COMMERCE : Importation des produits alimentaires - exportation de produits tropicaux,COTONOU : Agla - ilot 3505 - parcelle H - Tél : 97975805,PM,MUMMADI Janardhan
"","","",RESTAURATION-BTP-PIECES DETACHEES-,"","",""
595,DELICES DE NOS TERROIRS ,RB COT 13 A 16887,DEPOT SOBEBRA-ASSAINISSEMENT-GENIE CIVIL-COMMERCE GENERAL ET DIVERSES ,QUARTIER HOUEYIHO ILOT 1549 BP 1399 TEL 97222299,PP,""
"","","",PRESTATIONS,"","",""
596,DELTA FORCE SERVICES,RB/COT/A17858 DU030913,SERVICE : Travaux d'entretien de ménages - de bureaux - d'espaces publiques - ramassage et évacuation d'ordures et déchets,COTONOU : vèdoko - ilot 15125 - parcelle O - Tél : 94411 859,PP,atto firmin roger
597,DENADI,RB/COT/13A 17945DU180913,COMMERCE : Achat et vente de vêtements - prêt à porter - achat et vente des habits friperies et neufs,COTONOU : Sodjèatinmè - ilot 147 -Tél : 95959230,PP,AHOUANDJINOU Euloge C D
598,DEVCOM,RB/COT/13A17926 DU160913,COMMERCE : Achat et vente de fournitures de bureau - librairie et papeterie - consommables informatiques ,COTONOU :Avotrou - ilot 509 - Tél : 97767833,PP,HOUETO Paul H
"","","",COMMERCE : Importation et exportation - commerce ,"","",""
599,DH2 GLOBAL,RB/COT/13B 10755DU291113,général - achat et vente de véhicules d'occasion et neufs - pièces détachées d'occasion et neuves - ,COTONOU : Guinkomey  - ilot 45 - parcelle B - Tél : 67589446,PM,GANGBAZO C D
"","","",appareils électroménagers ,"","",""
"","","","COMMERCE : Importation, vente et location de ","","",51 / 177
600,DHELILI,RB/COT/13B 10395DU140813,véhicules automobiles d'occasion - de tous accessoires - transport de personnes et de matériels -elevage - importation et vente de tous matériels ,COTONOU : Sikècodji - ilot 966 - parcelle : Maison DONDJA - Tél : 65322453,PM,DONDJA A. Salam
"","","",électroniques,"","",""
601,DIALLO ET FILS ,RB/COT/13 A17371 DU070613,COMMERCE : Bâtiments et travaux publics - Assainissement - travaux d'entretien de bâtiments - diverses prestations de service - commerce général.,COTONOU : Fifadji - Ilot 1856 - Tél : 95952070,PP,DIALLO Bouraïma né le 01/01/53 à Ouidah 
"","","",COMMERCE : Importation de matériels ,"","",""
602,DICOLOR ,RB/COT/13B 10729 DU211113,informatiques - véhicules d'occasions ou neufs - pièces détachées - commercialisation des ,COTONOU : Sègbèya - ilot 285 - Tél : 65630659,PM,DOUMAKPE A C 
"","","",consommables de bureau,"","",""
"","","",TOUTES OPERATIONS GENERALEMENT ,"","",""
603,DIENO GROUP OVERSEAS,RB/COT/12 B 9069,QUELCONQUES POUVANT CONCERNER DIRECTEMENT OU INDIRECTEMENT LA VENTE - L'ECHANGE - L'IMPORTATION - ,QTIER: MINONTCHOU - ILOT: 852 - 06 BP 1400 - TEL: 21 04 74 77,PM,FADIKPE DIEM ADEBAYO EMILE
"","","",L'EXPORATATION - L'EMMAGASINAGE,"","",""
"","","",GAZRAGE AUTOMOBILE-REPARATION  DE ,"","",""
604,DIEU D'AMOUR & B.N ,RB COT 13 A 16902,VEHICULES-MECANIQUE GENERALE-PRODUITS SOBEBRA-COMMERCE GENERAL ET DIVERS-,QUARTIER VODJE SUD ILOT 1117-N TEL 97011251,PP,""
"","","",TOUS TRAVAUX DE BTP-,"","",""
"","","",ACHAT ET VENTE DE TISSUS WAX ET AUTRES - ,"","",""
605,DIEU EST MERVEILLE ,RB/COT/13 A 16637,COMMERCE GENERAL ET DIVERSES MARCHANDISES.,QTIER: DANTOKPA - ILOT: 84 - TEL: 64 00 21 91,PP,ODJO FELICITE
"","","",MECANIQUE GENERALE - VENTE DE PIECES ,"","",""
606,DIEU M' A ELEVE,RB/COT/13 A 17070,DETACHEES - FROID - BTP - COMMERCE GENERAL ET DIVERSES PRESTATIONS DE ,QTIER: KINDONOU - ILOT: 2175 - TEL: 97 37 26 26,PP,EHOUN MAGA HUBERT
"","","",SERVICES.,"","",""
"","","",COMMERCE : Achat et vente de textile et d'effets ,"","",""
607,DIEU NE DORS PAS,RB/COT/13 A17940DU180913,vestimentaires - vente de tissu (bogolant) - woodin - commerce général et diverses prestations de ,COTONOU : Dantokpa - ilot : hangar - parcelle 04 - tél : ,PP,GBODOU H. Justine
"","","",services,97698204,"",""
"","","",COUTURE - COUTURE GENERALE - ACHAT ET ,"","",""
"","","",VENTE DE MATERIELS DE COUTURE - ,"","",""
608,DIEU SEUL SUFFIT,RB/COT/13 A 16474,MERCERIE GENERALE - PRODUITS ,QTIER: GUINKOMEY - ILOT: 45 - ,PP,AGBIDIME JULIETTE
"","","",ALIMENTAIRES ET BOISSONS - MATERIELS ,07 BP 0162,"",""
"","","",INFORMATIQUES - BUREAUTIQUE,"","",""
"","","",IMPRIMERIE-CARTONNAGE -REPROGRAPHIE-,QUARTIER ABOMEY-CALAVI ,"",""
609,DIGITAL PRINT FLASH,RB/ABC/2011 B 444,PRODUCTION AUDIOVISUELLE-AFFICHAGE ET ,PLATEAU C/S/B TEL 21.30.12.38 ,PM,FAKEYE VICTOR TEL 
"","","",GERANCE D'AGENCE DE COMMUNICATION-,07 BP 850,"",21301238
610,DIHAPERV,RB/COT/13 A 18104DU171013,SERVICE : BTP - Assainissement - quincaillerie - matériaux de construction - dépot SOBEBRA - papeterie - production animale et agricole,COTONOU : Agla - ilot 3199 - parcelle H - Tél : 95932109,PP,KINHOUANDE H H Q
611,DILIGENCES ,RB/COT/13A 18034DU031013,SERVICE : Assistance aux entreprises - gestion des ressources humaines - entretien de recrutement - formation personnelle,COTONOU : Cité vie nouvelle - ilot 18 - parcelle B - Tél : 97077372,PP,BOTOCOU F Fabrice
612,DIMAS-TECH,RB/COT/13 A 16744,COMMERCE GENERAL ET DIVERS - PRESTATIONS DE SERVICES.,HLAZOUNTO - ILOT: 3839 - 01 BP 6423 - TEL: 97 32 76 03,PP,GBESSI VIDEGLA SENA ARNAUD
613,DISHATEX,RB/COT/13 A 16559,"ACHAT ET VENTE DE VETEMENTS - PRET A PORTER - ACHAT ET VENTE DE TEXTILES ET EFFETS VESTIMENTAIRES - BAZINS - MATERIELS INFORMATIQUES - FOURNITURES DE BUREAU","QTIER: MISSEBO - ILOT: 199 - TEL: 97 97 05 00",PP
614,DIV ABEBI,"RB/COT/13A17909DU110913","COMMERCE : Achat et vente de fournitures de bureau librairie et papeterie - matériels informatiques maroquinerie - droguerie","COTONOU : AÎBATIN I - Ilot 1598 - Tél : 96963588",PP
615,"DIVINE GRACE GROUP OF COMPANIES ( DGGC )",RB/ABY/13 B 9,"IMPORTATION DE MATERIAUX DE CONSTRUCTION-PLOMBERIE-QUINCAILLERIE-CONSOMMABLES INFORMATIQUES-MATERIELS DE BUREAU-LOCATION DE CHAISES ET DE VEHICULES DE TRANSPORT DE PERSONNES ET DE MARCHANDISES.","QUARTIER EYEDERO ILOT 04-J  MAISON BOKO TEL 68000000",PM
616,DIVINE GRACE PLUS,"RB/COT/13B10255 DU300304","COMMERCE : toutes opérations généralement quelconques pouvant concerner directement ou indirectement le commerce général - l'achat - la vente - l'échange - l'importation et l'exportation","ABOMEY-CALAVI : Abomey calavi ilot CSB - Tél : 97222256",PM
617,"DIVINE MAGNIFICIENCE SERVICES",RB COT 13 A 17043,"IMPRIMERIE-PUBLICATION ASSISTEE PAR ORDINATEUR-CACHET INFORMATISE-INFORMATIQUE-SERIGRAPHIE-COMMERCE GENERAL ET DIVERSES PRESTATIONS","QUARTIER GBEGAMEY 4 ILOT 952-B TEL 95716711",PP
618,DIVINE QUINCAILLERIE,RB/COT/ 13 A 16298,"ACHAT ET VENTE DE MATERIAUX DE CONSTRUCTION -QUINCAILLERIE -PEINTURE ET ARTICLE-QUINCAILLERIE GENERALE-DIVERS.","QUARTIER GBEGAMEY ILOT 737-TEL 94074270",PP
619,DIVINE TECHN ENERGIE,"RB/COT/13A17829DU290813","SERVICE : Electricité bâtiment - energie solaire - electricité - informatique - vente - installation - maintenance et fourniture des équipements électriques","COTONOU : kouhounou - ilot 2201 parcelle i - tél : 21003594",PP
620,DJALAN'S,RB/COT/ 13 A 16569,"TRAVAUX D'ENTRETIEN  DE MENAGES,DE BUREAUX, D'ESPACES PUBLIQUES-ACHAT ET VENTE DE MATERIELS BUREAUTIQUES-COMMERCE GENERAL ET DIVERS.","QUARTIER CADJEHOUN ILOT 786-I TEL 95086200",PP
621,DJBM,RB COT 13 A 17104,"LAVAGE ET NETTOYAGE  DE TEXTILES-PRESSING-BTP-FOURNITURES DE BUREAU ET MATERIELS INFORMATIQUES-BOULANGERIE-PRESTATIONS DE SERVICES-COMMERCE GENERAL ET DIVERS","QUARTIER DANDJI ILOT 771-E TEL 66394252",PP
622,DJELISCO & FILS,RB/PN/2012 B 989,"IMPORTATION DE VEHICULES D'OCCASION-PRESSING-PNEUMATIQUE-PIECES DE RECHANGES ET ACCESSOIRES AUTOMOBILES","QUARTIER ADJATI ILOT C/S/B TEL 66784434",PM
"","","",SERVICE : Toutes activités liées aux BTP - achat et ,"","",53 / 177
624,DJESUWANE,RB/COT/13A18040 DU071013,vente de bureautiques - alimentation générale - évènementiel - formation,COTONOU : Kpondéhou - ilot 420 - parcelle O - Tél : 96166686,PP,DEGAN Finnou S 
625,DJIDJOE,RB/COT/13 A17653DU290713,SERVICE : Exploitation d'une garderie et crêche - diverses prestations de services - commerce général ,COTONOU : Sègbèya - ilot 255- parcelle TER - Tél : 67539060,PP,do REGO Romaric E. L. né le 09/07/79 à cotonou
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
626,DJIFFA,RB COT 13 A 16790,INFORMATIQUES BUREAUTIQUES-PRESTATIONS DE SERVICES-COMMERCE ,QUARTIER SODJEATINME ILOT 136-B TEL 95495652,PP,""
"","","",GENERAL ET DIVERS.,"","",""
"","","",COMMERCE : Importation et vente de véhicules ,"","",""
627,DJIMA ADEKOUNLE,RB/PN/13 B 233 DU290313,automobiles neufs - camions d'occasion et pneumatiques - produits alimentaires et agro ,PORTO NOVO : SEME KPODJI (AGBALILAME) - ILOT 360 - TEL : ,PM,ADEKOUNLE M
"","","",alimentaires ,97287813,"",""
628,DJIMA PETROLEUM,RB/COT/07B1123DU120613,COMMERCE : Importation et distribution d'intrants agricoles de tous produits phytopharmaceutiques et de machines agricoles,COTONOU : Joncquet - ilot 129 - Tél : 21317469,PM,DJIMA Abdel F. né le 15/03/68 à cotonou
"","","",EXPLOITATION DE DEBIT DE BOISSONS -VENTE ,"","",""
629,DJIMEFA,RB COT 13 A 17023,DE BOISSONS SOBEBRA-VENTE DE CHAISES EN ,QUARTIER HINDE ILOT 983 TEL ,PP,""
"","","",PLASTIQUE  ET DIVERS.,96338601,"",""
"","","",TOUTES PRESTATIONS EN FORMATION ET ,"","",""
630,DJK SERVICES,RB/COT/13 A 17333,GESTION D'HOTES ET HOTESSES- ANIMATION COMMERCIALE ET STREET MARKETING - ,KOUHOUNOU - ILOT 2211 - PARCELLE Q - TEL/97257647,PP,KPANOU Jehanne Diane 
"","","",GESTION ET PLACEMENT DE PERSONNEL,"","",""
"","","",COMMERCE : ACHAT ET VENTE DE PRODUITS ,"","",""
631,DJRO-MAHUTON BON PRIX,RB/COT/13A 18302DU271113,CONGELES - CHAMBRES FROIDES - ALIMENTATION GENERALE - RESTAURATION - ,COTONOU : Djidjè - ilot 674 - parcelle J - Tél : 66365868,PP,DOUBOGAN Rosine
"","","",BAR,"","",""
632,DMP-BTP ,RB/COT/13 A 17676DU310713,COMMERCE : Toutes activités liées aux bâtiments et travaux publics (BTP) - commerce général,COTONOU : Zogbo - ilot 1889 - parcelle N - Tél : 21005220,PP,GODONOU Sourou Brigitte née le 21/07/80 à cotonou
"","","",SERVICE : Toutes entreprises maritimes - création - ,"","",""
633,DMS - TRANS,RB/COT/13B10202DU190613,acquisition - exploitation sous toutes ses formes de toutes entreprises de transit et de consignation maritime -d'aconage - de manutention - de ,COTONOU : Zongo - ilot 288 - Tél : 95415642,PM,DJOSSA Mathias S. M. C. né le 24/02/69 à porto novo
"","","",chargement et déchargement de navires,"","",""
"","","",ACHAT ET VENTE DE PRODUITS ,"","",""
634,DOHANAWA,RB COT 13 A 17178,AGROALIMENTAIRES-NUTRITION-VENTE DE ,QUARTIER FIDJROSSE ILOT ,"",""
"","","",TISSUS-COMMERCE GENERAL ET DIVERS,1778-Q 01 BP 3419 TEL 96229562,PP,""
"","","",CONSEILS -ETUDE ET EQUIPEMENTS-,"","",""
"","","",INGENIERIE-ETUDE TECHNIQUE-REALISATIO ,"","",DOHOU ARMAND JUSTIN 
635,DOHOU ET FILS,RB/COT/13 A 16352,D'OUVRAGES METALLIQUES-CHAUDRONNERIE-,QUARTIER GUINKOMEY ILOT 48-,PP,GEEORGES TEL 
"","","",TOUS TRAVAUX DE BETON ARME ET DE LA ,S 01 BP 94 TEL 68388235,"",68388235
"","","",MACCONNERIE-,"","",""
"","","","","","",54 / 177
"","","",COMMERCE : Achat et vente de cartes de recharge ,"","",""
636,DONATEL,RB/COT/13A17793DU230813,cabine téléphonique - vente en gros de cartes de recharges tous reseaux GSM- commerce général et ,COTONOU : Sègbèya - ilot 4292 - parcelle AF - Tél : 95819410,PP,HOUSSOU EPSE EYEBIYI Christine née le 02/11/55 à 
"","","",diverses prestations de services,"","",Kpota
"","","",COMMERCE : Achat et vente de matériels ,"","",""
637,DONKPEGAN CONTROLE QUALITE ,RB/COT/13 A 18132DU221013,informatiques - bureautique - classement visuel et manuel - classement sur chaîne HVI - arbitrage - ,COTONOU : Aibatin - ilot 1652 - parcelle A - Tél : 97440518,PP,DONKPEGAN Adrien
"","","",suivi écologique ,"","",""
"","","",COMMERCE : Achat et vente de pièces détachées - ,"","",""
638,DON'S BROWN VENTURE ,RB/COT/13A 18260 DU181113,pneus et accessoires automobiles - pièces de rechange et d'accessoires neufs et d'occasion - ,COTONOU : Zongo - Ilot 299 - parcelle A - Tél : 97922823 ,PP,ONWUKA I Kalu
"","","",quincaillerie - matériaux de construction,"","",""
639,DOP,RB/COT/08B2786 DU140308,COMMERCE : Importation de produits alimentaires et boissons - produits cosmétiques - matériels et objets de décoration - commerce général,COTONOU : Maro -Militaire - ilot 550 - Tél : 97199618 ,PM,AFOGNON B A A M
"","","",COMMERCE : Achat et vente de produits ,"","",""
640,DORIANORLD,RB/COT/13 A 17661DU290713,alimentaires et des boissons - alimentation générale - produits forestiers - btp - bureautique - informatique - ,COMMERCE : Joncquet - ilot 95 - parcelle/Maison QUENUM - Tél : ,PP,BOYA Bérénice Inès née le 07/08/74 à cotonou
"","","",mobiliers et équipements de bureau,21314979/97076637,"",""
"","","",COMMERCE : Importation et exportation de tous ,"","",""
641,DOSSOU G. & FILS,RB/COT/13B10189 DU170613,produits - marchandises - denrées et objets de toute nature et de toutes provenances - notamment ,COTONOU : Kowégbo - ilot 743 - parcelle J - Tél : 97000080,PM,DOSSOU Zinsou Claude néle 16/06/75 à porto novo
"","","",véhicules neuves ou d'occasion,"","",""
642,DOUDOU AGBASS ET FILS,RB/COT/13A17621DU230713,COMMERCE : Achat et vente de produits alimentaires et des boissons - alimentation générale - btp,COTONOU : Mènontin - ilot 2086 - Tél : 95714871,PP,ASSOGBA GANGNIDE Adrien né le 22/03/63 à attotinga
"","","",BTP-ENTRETIEN-ACHAT ET VENTE DE ,QUARTIER HOUENOUSSOU ,"",""
643,DOUDOU ET FILS ,RB COT 13 A 16900,MOBILIERS DE BUREAU-ALIMENTATION ,ILOT 776-Q 07 BP 922,PP,""
"","","",GENERALE-PRODUITS SOBEBRA,TEL 67131307,"",""
644,DOVE,RB/COT/13 A17612 DU190713,SERVICE : Imprimerie - sérigraphe - peinture - décoration - achat et vente de diverses marchandises - commerce général et divers ,COTONOU : Fifadji Yénawa - ilot 1871 - parcelle X - Tél : 97882501,PP,DOVONOU koffi I. né le 20/12/78 à Baname
"","","",COMMERCE : Commerce général - vente de tissus - ,ABOMEY CALAVI : Godomey ,"",""
645,DOVI AJANOHOUN,RB/ABC/13B154DU210813,importation et exportation de produits vivriers et de tous produits manufacturés - produits tropicaux -,Magasin - ilot CSB - Parcelle : maison AJANOHOUN - Tél : ,PM,DOVI-SODEMEKOU EPSE AJANOHOUN Dédé 
"","","",forestiers et agricoles,97218002,"",""
646,DRABAL ET FILS ,RB/COT/13A17674 DU300713,COMMERCE : achat et vente de matières plastiques -emballages plastiques - alimentation générale - matériels informatiques - commerce général,COTONOU : Dédokpo - ilot 556 - parcelle/maison LATOUNDJI - Tél : 95327190,PP,ALI Drabo né le 20/12/74 à Fronobo
647,DRAMANI & FILS,RB/COT/13 A17360 DU060613,COMMERCE : Achat et vente de produits forestiers et de produits vivriers et de créales,COTONOU : Kouhounou - ilot 2239 - parcelle X - Tél : 97318844,PP,TAÏROU Dramani né le 29/10/62 à Dompago
"","","",ACHAT ET VENTE DE VETEMENTS - PRET-A-,"","",55 / 177
"","","",PORTER - EFFETS VESTIMENTAIRES - BTP - ,QTIER: DJIDJIE - ILOT: 1026 - 02 ,"",""
648,DRESS ME UP,RB/COT/13 A 16675,MATERIELS INFORMATIQUES - ALIMENTATION ,BP 1084 - ,PP,HOMSI HAMZE
"","","",GENERALE - GENIE CIVIL- FOURNITURES DE ,TEL: 96 48 67 67/97 97 44 97,"",""
"","","",BUREAU,"","",""
"","","",ACHAT ET VENTE DE VETEMENTS-PRET A ,"","",""
649,DU BERCEAU AU MARIAGE,RB COT 13 A 16562,PORTER-VENTE D'HABITS ENFANTS-MAROQUINERIE-COMMERCE GENERAL ET ,QUARTIER DANTOKPA ILOT 109-BL TEL 97142078,PP,NOUNAHON YEHINOU CONSTANCE TEL 
"","","",DIVERS.,"","",97142078
"","","",ETUDES - CONSEILS AUX ENTREPRISES - ,QTIER: QUARTIER JAK - ILOT: ,"",VIGNON DIEUDONNE 
650,DVI,RB/COT/13 A 17242,BUREAU D'ETUDES - COMMERCE GENERAL ET ,017 - 01 BP 3802 - TEL: 21 31 77 ,PP,VINCENT DE PAUL 
"","","",DIVERSES PRESTATIONS DE SERVICES,28,"",CODJO
"","","",ACHAT ET VENTE DE TISSUS WAX HOLLANDAIS ,"","",""
"","","",ET AUTRES-FOURNITURES DE BUREAU-,"","",""
"","","",MATERIELS INFORMATIQUES-RESTAURATION-,"","",""
651,DYLAN ET FILS,RB COT 13 A 16453,SERVICE TRAITEUR-BTP-PRODUITS FORESTIERS-ENTRETIEN DE BUREAU ET ,QUARTIER KOUHOUNOU ILOT 2233-C TEL 97484002,PP,FLIMATIN LOETITIA CLORINDA FERNANDE 
"","","",ESPACE VERT-PRET A PORTER-BTP-ACHAT ET ,"","",TEL 97484002
"","","",VENTE DE PRODUITS ALIMENTAIRES ET ,"","",""
"","","",BOISSONS-COMMERCE GENERAL ET DIVERS.,"","",""
"","","",ACHAT ET VENTE DE FOURNITURES DE ,"","",""
652,DYLANCHA,RB COT 13 A 16606,BUREAU LIBRAIRIE ET PAPETERIE-BUREAUTIQUES ET ELECTRONIQUES-TEXTILES ,QUARTIER AGBONDJEDO ILOT 1073 TEL 95066218,PP,DALMEIDA KOKOE GHISLAINE  CHANTAL 
"","","",ET EFFETS VESTIMENTAIRES-DIVERS,"","",TEL 9506218
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
"","","",INFORMATIQUES BUREAUTIQUES-,"","",""
653,E.G.C SERVICE,RB/COT 13 A 16324,MAINTENANCE DES NTIC -BTP-ALIMENTATION ,QUARTIER JERICHO ILOT 481-R ,"",ZOMASSI ROMANCE TEL 
