N°,N° RCCM,Dénomination,Activités,Adresses,Type
1,"RB/PN/13 A 321  DU02/05/13","""NORA"" FASHION","COMMERCE: ACHAT ET VENTE DE  CHAUSSURES - SACS - TEXTILES - MERCERIE -  BIJOUX - PRODUITS COSMETIQUES -  BUREAUTIQUE - QUINCAILLERIE - PIECES","Porto-Novo Dodji LOT/ 2180-f TEL/ 97 07  82 06",PP
2,"RB/PN/13 A 462  DU25/07/13",2AK ET FILS,"COMMERCE: BUREAUTIQUE - BTP -  QUINCAILLERIE - ENTRETIEN DES LOCAUX -  LOCATION DE BACHES - SONORISATION  DIVERS - TRAVAUX D'IMPRIMERIE - BAR-","Adjarra Malanhoui M/SON KAKAHOUN  TEL/ 97 37 49 40",PP
3,"RB/PN/13 A 685  DU04/12/13",2H ET FILS,"COMMERCE: ACHAT ET VENTE DE  FOURNITURES DE BUREAU - MATERIELS ET  EQUIPEMENTS DE TOUS GENRES -  CONSOMMABLES INFORMATIQUES -","Porto-Novo Djègan-Kpèvi ZIP/3-232-M  TEL/97 83 66 61",PP
4,"RB/PN/13 A 491  DU22/08/13",2H HODONOU ET FILS,"COMMERCE: DEPOT DE VENTE DE PRODUITS  SOBEBRA - DEPOT DE VENTE DE CIMENT -  QUINCAILLERIE GENERALE - COMMERCE  GNERAL ET DIVERS","Sèmè-Kpodji Ekpè1 M/SON SAGBOHAN  TEL/ 97 47 32 82",PP
5,"RB/PN/13 A 513  DU30/08/13",2KC ET FILS,"INDUSTRIE: BTP - PRODUITS TROPICAUX -  AGRICOLES - FORESTIERS - BUREAUTIQUE -  INFORMATIQUE - TOUTES PRESTATIONS DE  SERVICES - EVENEMENTIEL - COMMUNICATION","Porto-Novo Ouando ZIP/ 3-267-H TEL/ 97  84 59 31",PP
6,"RB/PN/13 A 323  DU02/05/13",5EME AVENUE,"COMMERCE: CAFETERIA - SERVICE TRAITEUR - MAROQUINERIE - BIJOUX - ARTICLES  VESTIMENTAIRES - BUREAUTIQUE - DIVERSES  PRESTATIONS - EXPLOITATION ET","Porto-Novo Djassin ZIP/ 1-102-AH 01 BP  1904 P/N TEL/ 96 91 98 01",PP
7,"RB/PN/13 A 315  DU25/04/13",A B C-DEGNON,"COMMERCE: ACHAT ET VENTE DE  FOURNITURES DE BUREAU - LIBRAIRIE -  PAPETERIE - RESTAURATION - SERVICE  TRAITEUR - PATISSERIE - BOULANGERIE -","Porto-Novo Lokossa LOT/ 1956-f TEL/ 97  09 84 36",PP
8,RB/PN/ 13 A 232,A S B,"TRANSIT - PRODUITS TROPICAUX -  FORESTIERS - AGRICOLES - BTP -  PRESTATIONS DE SERVICES - FOURNITURES  DE BUREAU ET SCOLAIRES - INFORMATIQUE -","Tokpota I P/N LOT/ 385-A TEL/ 95 28 02  08",PP
184,"RB/PN/13 A 466  DU29/07/1",DAB-BTP,"INDUSTRIE: BTP - BAR-RESTAURANT - QUINCAILLERIE - FOURNITURES DE BUREAU - ENTRETIEN DES LOCAUX - EVENEMENTIEL - ESPACES VERTS - MAINTENANCE ET","Porto-Novo Houinmè-Ganto ZIP/3-234-F TEL/96 31 02 06",PP
185,"RB/PN/13 A 650 DU15/11/13",DAGBEMABOU,"COMMERCE: QUINCAILLERIE GENERALE - CIMENT - BTP - VENTE DE SABLE MARIN - COMMERCE GENERAL ET DIVERS","Dangbo Fongonhin C/SB M/SON OKE TEL/ 97 48 32 15",PP
186,"RB/PN/13  A 414 DU27/06/1",DAGBENAWA,"COMMERCE: MECANIQUE AUTO - TOLERIE - PEINTURES - VENTE DE PIECES DETACHEES - BTP - BUREAUTIQUES","Porto-Novo Louho LOT/ 4-398-H TEL/ 94 91 07 03",PP
187,"RB/PN/13 A 579 DU01/10/13",DAMILOLA ET FUNMY,"SERVICE: DECORATION D'IMMEUBLE - BTP - COMMERCE GENERAL ET DIVERS","Cotonou Guinkomè LOT/34 M/SON SALAMI TEL/ 97 77 84 07",PP
188,"RB/PN/13 A 684 DU04/12/13",DARA EVENTS,"SERVICE: DECORATION - RESTAURATION - SERVICE TRAITEUR - EVENEMENTIELS - REALISATION DES CARTES ET SPOTS PUBLICITAIRES - LOCATION DE CHAISES -","Sèmè-Kpodji Agbalilamè LOT/282 M/SON SOHOU 06BP151Cot. TEL/96100741",PP
"","","",COMMERCE: PRODUITS AGRICOLES - DEPOT ,"","",""
"",RB/PN/13 A 669 DU22/11/13,DAZIZE ET FILS,SOBEBRA - POISSONNERIE - QUINCAILLERIE - ALIMENTATION GENERALE - COMMERCE ,Adjarra Hounvê C/SB M/SON KOUADINOU TEL/ 97 06 15 85,PP,DASSI Odette
190,"","",GENERAL ET DIVERS,"","",""
"","","",COMMERCE: BUREAUTIQUE - QUINCAILLERIE - ,"","",""
"",RB/PN/13 A 653 DU18/11/13,DEAWADO ET FILS,BAR-RESTAURANT - PRODUITS FORESTIERS - SOBEBRA - TEXTILE - ALIMENTATION ,Adjohoun Wadon C/SB M/SON CARENA TEL/ 95 02 64 29,PP,HOUNNOUVI CossibaMariette
191,"","",GENERALE - DIVERS,"","",""
"","","",COMMERCE: IMPORTATION DE VEHICULES ,"","",""
"",RB/PN/13 B 076 ,"","","","",""
"",DU11/01/13,DEGORJUR ET FILS,AUTOMOBILES D'OCCASION - PIECES DE RECHANGES ETB D'ACCESSOIRES NEUFS ET ,Porto-Novo Dowa LOT/479-Y1 TEL/ 67 90 94 92,PM,KOUDAFOKE Vignon Patrick
192,"","",D'OCCASION - PNEUMATIQUE - TRANSPORT - ,"","",""
"","","",INDUSTRIE: BTP - MATERIAUX DE ,"","",""
"",RB/PN/13 A 484 DU14/08/13,DEJAF,CONSTRUCTION - PRODUCTION ET VENTE DES PRODUITS DE PECHE ET D'ELEVAGE - ,Porto-Novo Djègan-Daho M/SON DEGBO TEL: 96 72 23 36,PP,DEGBO Jesutin T. Sylvestre Rhovinis
193,"","",COMMERCE GENERAL ET DIVERS,"","",""
"","","",COMMERCE: PRODUITS ALIMENTAIRES - ,"","",""
"",RB/PN/13 A 335 DU10/05/13,DELICES MARKET,DROGUERIE - PRODUITS D'ENTRETIEN ET D'HYGIENE CORPORELLE - TEXTILES - BIJOUX - ,Porto-Novo Houinmè-Château LOT/ 3-236-I TEL/ 97 68 25 84,PP,LAURIANO Bassirath Agnikè
194,"","",COMMERCE GENERAL ET DIVERS,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE PRODUITS ,"","",""
"",RB/PN/13 A 475 DU07/08/13,DEMA ET FILS,FORESTIERS - MATERIAUX - ELEVAGE - PRODUITS MARAICHERS - COMMERCE ,SAKETE Araromi C/SB M/SON SODJINOU TEL/ 95948921,PP,ZOSSOUNGBO Léon
195,"","",GENERAL ET DIVERS,"","",""
"","","",COMMERCE: ACHAT ET VENTE D'EFFETS ,"","",""
"",RB/PN/13 A 661 ,"","","","",""
"",DU20/11/13,DIENOU ET FILS,VESTIMENTAIRES - CHAUSSURES - PRODUITS COSMETIQUES - MATERIELS INFORMATIQUES ,Porto-Novo Sèdjèko LOT/59 M/SON HOUDJI TEL/96 92 18 05,PP,HOUDJI Enagnon Franklin Dienou
196,"","",ET ELECTRONIQUES - PIECES DETACHEES ,"","",""
"","","",COMMERCE: EXPLOITATION FORESTIER - ,"","",""
"",RB/PN/13 A 529 DU05/09/13,DIEU EST MA PUISSANCE,QUINCAILLERIE ET SCIERIE - BTP - MATERIELS INFORMATIQUES - PRODUITS AGRICOLES - ,Sèmè-kpodji Sèkandji ZIP/ 1-124-J TEL/ 97 88 44 99,PP,ASSOGBA Gilbert
197,"","",COMMERCE GENERAL ET DIVERS,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE PRODUITS ,"","",""
"",RB/PN/13 A 328 DU07/05/13,DIEU TRES HAUT,FORESTIERS - QUINCAILLERIE - DEPOT DE CIMENT - MATERIAUX DE CONSTRUCTION - ,Porto-Novo Gbodjè M/SON ADJAYI TEL/ 97 44 29 48,PP,ADJAYI Adédogni Conforte
198,"","",PEINTURES ET ARTICLES - COMMERCE ,"","",""
"","","",COMMERCE: QUINCAILLERIE GENERALE - ,"","",""
"",RB/PN/13 A 535 DU10/09/13,DIEU-ESPOIR SGA,MATERIAUX DE CONSTRUCTION - BTP - PRODUITS FORESTIERS - TROPICAUX ET ,Avrankou Ouindodji M/SON SESSOU TEL/ 97 07 70 82,PP,SESSOU Godonou Anselme
199,"","",AGRICOLES - SOBEBRA - GSM - BUVETTE - ,"","",""
"","","",COMMERCE: POISSONNERIE - ,"","",""
"",RB/PN/13 A 551 DU19/09/13,DIEU-QUI-FAIT-TOUT,AGROALIMENTAIRES ET PASTORAUX - HUILES VEGETALES - ALIMENTATION GENERALE - ,Sèmè-Kpodji Kraké M/son AMOUSSA TEL/ 95 06 41 06,PP,AMOUSSA Rachidatou
200,"","",PRODUITS FORESTIERS ET AGRICOLES - ,"","",""
"",RB/PN/13 A 530 ,"",COMMERCE: EXPLOITATION AGRICOLE - ,"","",ODEHOURI-
201,DU05/09/13,DINAFARM'S,CULTURE MARAICHERE - COMMERCE GENERAL ET DIVERS,Adjohoun Gbada M/SON LATOUNDJI TEL/ 96 63 78 78,PP,KOUDOU Tamou Géraldine
"",RB P/N-13-A-143,DIVINE,INFORMATIQUE - ELECTRONIQUE - DIVERS,Podji-agué S/PODJI C/SB TEL/ 97 23 50 23,PP,LEBI Didier
202,"","","","","",""
"","","",SERVICE: TRANSPORT - MECANIQUE ,"","",""
"",RB/PN/13 A 676 DU25/11/13,DJIGBODJAFE ET FILS,GENERALE - BTP - PRODUITS AGRICOLES - FORESTIERS ET TROPICAUX - ALIMENTAIRE - ,Porto-Novo Dowa LOT/746-A TEL/97 57 32 08,PP,DJIGBODJAFE Sèdogbo Dominique
203,"","",QUINCAILLERIE - PRODUITS SOBEBRA - ,"","",""
"","","",COMMERCE: QUINCAILLERIE GENERALE - ,"","",""
"",RB/PN/13 A 494 ,"",AGENCE DE COMMUNICATION - POISSONNERIE ,Porto-Novo TokpotaII LOT/354-A TEL: 97 ,"",DOTOU Mahugnon 
"",DU23/08/13,DOG ET FILS,- TOURISME - HOTELLERIE - RESTAURATION - ,04 43 48,PP,Ulrich Gaël
204,"","",PRET-A-PORTER ET COSMETIQUES - ,"","",""
"","","",COMMERCE GENERAL ET DIVERS - ,"","",""
"",RB/ PN/ 13 B 267,DON D' ELOHIM TOUT PUISSANT,REPARATION GENERALEDES APPAREILS ELECTRONIQUES - MONTAGE DES CAMERAS ,Adanhou-Vakon Akpro-Missérété C/sb TEL/ 97 07 32 23,PP,LONOU Djidjoho Paulin
205,"","",CACHEES - FABRICATION DES CHARGEURS ,"","",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
"",RB/ PN/ 13 A 305,DONA-DJIDJOHO,INFORMATIQUES - BUREAUTIQUE - ,Dowa Porto-Novo ZIP/ 4-794-N1 TEL/ 90 ,PP,ASSOGBA Comlan Hervé Sylvestre 
"","","",CONSOMMABLES INFORMATIQUES - TOUTES ,94 55 55,"",""
206,"","",OPERATIONS DE GENIE CIVIL ET BTP - ,"","",Janvier
"","","",PRODUITS FORESTIERS - AGRICOLES - ,"","",""
"",RB P/N-13-A-057,DOUBLE PORTION,BUREAUTIQUE - IMPRIMERIE - SERVICE ,Attakè2 P/N C/SB TEL/ 97 87 60 35,PP,AZOKLI Parfaite
"","","",TRAITEUR - ALIMENTATION GENRALE - ,"","",""
207,"","",CONSOMMABLES INFORMATIQUES - DIVERS,"","",""
"","","",SERVICE: RESTAURATION - BTP - ,"","",""
"",RB/PN/13 A 694 DU12/12/13,DOULEDJI,QUINCAILLERIE - ACHAT ET VENTE DE FOURNITURES DE BUREAU - ENTRETIEN ET ,Porto-Novo Tokpota ZIP/4-198-M TEL/97 89 51 92,PP,HOUNSOUNNOU Affiavi Gisèle Victoire
208,"","",ASSAINISSEMENT - IMPRIMERIE - DIVERSES ,"","",""
"","","",IMPORTATION DE VEHICULES AUTOMOBILES ,"","",""
"",RB P/N-13-B-043,DRAGON DE LA CAPITALE,D'OCCASION - PNEUMATIQUE - AGENCE DE ,Hon-Hondji Fila P/N C/SB TEL/ 97 91 82 ,PM,AKPLOGAN-KANHO 
"","","",VOYAGE - QUINCAILLERIE - MATERIAUX DE ,80,"",Yémalin P. B.
209,"","",CONSTRUCTION - VENTE DE CIMENT - NEGOCE,"","",""
"","","",INDUSTRIE: BTP - ASSAINISSEMENT - GENIE ,"","",""
"",RB/PN/13 A 429 DU04/07/13,DU PAS MORNET,CIVIL - BUREAUTIQUE - INFORMATIQUE - ACHAT ET VENTE DE PRODUITS FORESTIERS - ,Porto-Novo Dowa ZIP/4-744-A TEL/ 97 60 94 16,PP,YEDE Hodonou Marcel
210,"","",VIVRIERS - AGRICOLES - TROPICAUX - ,"","",""
"","","",INDUSTRIE: BTP - FOURNITURES ET ,"","",""
211,RB/PN/13 A 587 DU04/10/13,DYNAMIQUE CONSTRUCTION (DYNACO BTP),EQUIPEMENTS - VENTE DE PRODUITS AGGLOMERES ET FORESTIERS - COMMERCE GENERAL ET DIVERS,Porto-Novo Dowa-Gbago ZIP/4-172-A TEL/ 96 15 36 25,PP,DJOSSOU Adjimon Fiacre
"","","",SERVICE: PROGRAMMATION CONCEPTION DE ,"","",""
"",RB/PN/13 A 644 DU08/11/13,E-WORLD TECHNOLOGY,LOGICIELS - GROSSISTE DE CARTES DE RECHARGE MTN ET MOOV - ETUDE - CONSEIL ,Porto-Novo Tokpota2 ZIP/4-343-C TEL/96 12 97 45,PP,CHOKKI Toundé Beaudelaire
212,"","",ET REALISATION D'INSTALLATION COURANTS ,"","",""
"","","",COMMERCE: MACONNERIE - CARRELAGE - ,"","",""
"",RB/PN/13 A 425 DU03/07/13,EBE.CO.B,PLOMBERIE - ELECTRICITE - MENUISERIE - FERRAILLAGE - PEINTURE - ETANCHEITE - BTP -,Sèmè-Kpodji Wègbégo-Adièmè M/SON HOUNSA TEL/ 97 88 02 02 ,PP,HOUNSA Clément
213,"","",COMMERCE GENERAL ET DIVERS,"","",""
214,RB P/N-13-A-028,ECO HL,"VENTE DE LUMINAIRES LED ET ECOLOGIQUES -COMMERCIALISATION DES BIENS DE CONSOMMATION - DIVERS","Marina PK10 S/PODJI LOT/ 245-B TEL/ 97 76 67 04",PP
215,"RB/PN/13 A 028 DU14/01/13",ECO HL,"COMMERCE VENTE DE LUMINAIRES LED ET ECOLOGIQUE - COMMERCIALISATION DES BIENS DE CONSOMMATION - VENTE DE DIVERS PRODUITS - TRANSPORT - PRODUITS AGRO-","Sèmè-Kpodji Marina PK10 LOT/ 245-B TEL/ 97 76 67 04",PP
216,RB/ PN/ 13 A 278,ECOGNON,"COMMERCE GENERAL ET DIVERS - VENTE DE LUBRIFIANTS - GESTION IMMOBILIERE - DEPOT SOBEBRA - PRODUITS FOESTIERES ET AGRICOLES - QUINCAILLERIE","Dowa P/N ZIP/ 4-810-ZB TEL/ 97 64 91 83",PP
217,"RB/PN/13 A 334 DU08/05/13",EL-ZOUKE,"COMMERCE: VENTE DE VEHICULES D'OCCASION ET AUTRES BIENS D'OCCASION - DE PNEUS - DEBIT DE BOISSONS - RESTAURATION - BTP - MATERIELS","Porto-Novo Ayizandjèkomey M/SON ALEDJI TEL/ 97 22 15 10",PP
218,"RB/PN/13 A 593 DU10/10/13",ELECTRO ADE & FILS,"INDUSTRIE: TRAVAUX D'ELECTRICITE BATIMENTS - VENTE DES MATERIAUX ELECTRIQUES ET DIVERS - BTP - QUINCAILLERIE - PRODUITS FORESTIERS -","Porto-Novo Hounsa LOT/217-A TEL/ 96 10 24 48",PP
219,RB/PN/ 13 A 254,ELECTRO-PLUS,"LE COMMERCE GENERAL - FOURNITURES DE BUREAU - BTP - CONSOMMABLES INFORMATIQUES - IMPRIMERIE - ELECTRICITE BATIMENT ET FROID - DIVERS",Ouenlinda P/N LOT/ 99 EL/ 96 46 80 80,PP
220,RB/PN/ 13 A 246,ELLE ''AVE MARIA'',"PRODUITS HALIEUTQUES POISSONNERIE - VENTE DE BOISSONS - DE PORTABLES ET ACCESSOIRES - DE CHAUSSURES - ALIMENTATION GENERALE - DIVERS",Tohouè S/PODJI C/SB TEL/ 97 55 33 09,PP
221,RB P/N-13-A-055,"EMERGENCE CONSULTING + BENIN","PRESTATIONS DE SERVICES - BTP - BUREAUTIQUE - CONSOMMABLES INFORMATIQUES - ALIMENTATION GENERALE - DIVERS","Djilado P/N ZIP/ 3-122-D TEL/ 96 84 86 29",PP
222,"RB/PN/13 A 424 DU01/07/13",EMIOLA ET FILS,"COMMERCE: VENTE DE MOTOS - PIECES DE RECHANGES DES MOTOS - DEPOT SOBEBRA - DEPOT CIMENT - PRODUITS FORESTIERS - VENTE DE LUBRIFIANTS - COMMERCE","Ifangni Igolo M/SON ZANNOU TEL/ 97 54 47 46",PP
223,"RB/PN/13 A 545 DU18/09/13","ENAGNON MULTI SERVICESBENIN ( EMS)","SERVICE: AGENCE DE VOYAGE - BUREAUTIQUE - ACHAT ET VENTE DE VEHICULES - MATERIAUX DE CONSTRUCTION - PRODUITS AGRICOLES - FORESTIERS -","Porto-Novo Djègan-Kpèvi LOT/3-477-D TEL/ 97 68 75 71",PP
224,"RB/PN/13 A 324 DU06/05/13",ENANGNON-DIEU MERCI,"COMMERCE: QUINCAILLERIE GENERALE - DEPOT DE CIMENT - HEBERGEMENT - BAR-RESTAURANT - BUREAUTIQUE - PLOMBERIE - ELECTRICITE - PEINTURE - MENUISERIE -","Sèmè-Podji Djeffa M/SON ADJIBI TEL/ 9708 28 90",PP
"","","",INDUSTRIE: BTP - CONSTRUCTION GENERALE - ,"","",""
"",RB/PN/13 A 420 DU28/06/13,ENTREPRISE BAYO,ETUDES - CONCEPTIONS ET REALISATIONS - FOURNITURES ET MOBILIERS DE BUREAU - ,Porto-Novo Ouando LOT/4-425-M TEL/97 91 60 76,PP,FADONOUGBO G. Obawolé Akim
226,"","",PRODUITS D'ENTRETIEN ET CONSOMMABLES - ,"","",""
"","","",INDUSTRIE: CONSTRUCTION ET ARTS-,"","",""
"",RB/PN/13 A 532 DU05/09/13,ENTREPRISE CTA,CONCEPTIONS - ETUDES - REALISATION ET SUIVI - BTP - GENIE-CIVIL - TOPOGRAPHIE - ,Porto-Novo Kandévié-Owodé ZIP/ 3-247-C TEL/ 95 69 55 57,PP,ZOUMENOU KpessouConrad
227,"","",AMENAGEMENT ET JARDINAGE - COMMERCE ,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE TISSUS ET ,"","",""
"",RB/PN/13 A 624 DU04/11/13,EQUATEUR,TOUTES SORTES D'HABILLEMENT - DE TEXTILES - DE TISSUS BASINS - PRODUITS ,Porto-Novo Davié C/SB 06 BP 1859 Cot. TEL/ 96 39 06 27,PP,ATIGOSSOU Epse GBEDAN Philomène
228,"","",ALIMENTAIRES - COSMETIQUES - MATERIELS ,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE MATERIELS ,"","",""
"",RB/PN/13 A 463 DU25/07/13,ESPACE NTIC,INFORMATIQUES - BUREAUTIQUE - PRESTATIONS DE SERVICES - BTP - ,Sèmè-Kpodji Podji-Agué M/SON JEKINNOU TEL/66 52 52 32,PP,JEKINNOU Migbèho Aurore
229,"","",CONSOMMABLES INFORMATIQUES - ,"","",""
"","","",COMMERCE: FOURNITURES DE BUREAU - ,"","",""
"",RB/PN/13 A 515 ,"","","","",""
"",DU02/09/13,ESPOIR 2013,PRESTATIONS DE SERVICES - VENTE DES PRODUITS DE LA SOBEBRA - COMMERCE ,Sèmè-Kpodji Agblangandan LOT/261 M/SON KOTIN TEL/ 97 56 23 68,PP,KOTIN Jean Bosco
230,"","",GENERAL ET DIVERS,"","",""
"","","",COMMERCE: IMPORTATION DE VEHICULES ,"","",""
"",RB/PN/13 B 313 DU26/06/13,ESPOIR DE DIEU,AUTOMOBILES D'OCCASIONS - DE CAMIONS - PIECES DE RECHANGES ET D'ACCESSOIRES ,Porto-Novo Kandévié C/SB M/SON BACHIROU TEL/ 64 76 01 27,PM,FASSASSI Gahouzou Babatoundé
231,"","",AUTOMOBILES NEUFS ET D'OCCASION - ,"","",""
"","","",LOCATION VEHICULES - FOURNITURES DE ,"","",""
"",RB P/N-13-A-102,ESPOIR PLUS,BUREAU - CONSOMMABLES INFORMATIQUES - ,Tokpota P/N LOT/ 1518-T TEL/ 95 49 64 ,PP,ADJAHO Sylvie
232,"","",EXPLOITATION FORESTIERS,74,"",""
"","","",COMMERCE: ACHAT - VENTE - IMPORTATION ,"","",""
"",RB/PN/13 B 404 DU08/10/13,ESSOU OLA ET FRERES,ET EXPORTATION DE VEHICULES AUTOMOBILES D'OCCASION - DE CAMIONS - ,Porto-Novo Zèbou-Aga C/SB M/SON ADJIBADE TEL/ 97 71 14 78,PM,ADJIBADE Abdou Rafiou
233,"","",PIECES DE RECHANGE ET D'ACCESSOIRES ,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE MATERIELS ,"","",""
"",RB/PN/13 A 607 ,EXPERTISES & ,INFORMATIQUES - BUREUATIQUE - EXPERTISE ,Sémé-Kpodji Mériba C/SB M/SON ,"",NAKOU Finagnon 
"",DU18/10/13,INGENIERIES BENIN,EN INFORMATIQUE - INGENIERIE DES ,NAKOU Gérard TEL/ 96 43 08 51,PP,Gérard
234,"","",INSTALLATIONS - LOGICIIELS - FORMATION - ,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE ,"","",""
"",RB/PN/13 A 359 DU23/05/13,F.A COMMERCE,MARCHANDISES - REPRESENTATION COMMERCIALE - COMMERCE GENERAL ET ,Porto-Novo Foun-Foun Gbègo LOT/3-144-G TEL/ 97 13 65 22,PP,AKANHO Françis Georges
235,"","",DIVERS,"","",""
"","","",COMMERCE: ACHAT ET VENTE DE TEXTILE - ,"","",""
"",RB/PN/13 A 659 ,"","","","",""
"",DU20/11/13,F.O. YAWAHHAB,PRODUITS AGRICOLES ET FORESTIERS - QUINCAILLERIE - PRODUITS COSMETIQUES - ,Porto-Novo Dowa LOT/1675-K TEL/96755541 ,PP,FALOLA Olouwatogni
236,"","",ALIMENTATION GENERALE - PRODUITS ,"","",""
"",RB/PN/13 A 562 DU27/09/13,FABEL TOUT EST GRACE,COMMERCE: VENTE DE GAZ SONACOP ET ORYX - LUBRIFIANTS - PRODUITS SOBEBRA - ,Porto-Novo Dowa-Gbago ZIP: 4-125-Q ,PP,FANOU Epse ZONON 
237,"","",COMMERCE GENERAL ET DIVERS,TEL/ 95 96 35 78,"",Elisabeth
"",RB/PN/13 A 394 ,"",SERVICE: FORMATION - ASSISTANCES ,"","",""
238,DU14/06/13,FAC MICROFINANCE,TECHNIQUES ET CONSEIL EN MICROFINANCE - COMMERCE GENERAL ,Porto-Novo Tokpota1 LOT/ 213-M TEL/ 97 17 50 56,PP,HOUSSOU Pierre Anniversaire Abiodoun
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
"",RB/ PN/ 13 A 274,FADEK,INFORMATIQUES - BUREAUTIQUE - ,Ouenlinda P/N M/son AHOUNOU LOT/ 70 ,PP,FASSAYA Comlan 
"","","",MAINTENANCE - AUDIT ET SECURITE ,TEL/ 96 34 09 33,"",Constant
239,"","",INFORMATIQUE - DEVELOPPEMENT LOGICIEL - ,"","",""
"","","",VENTE DE NOIX D'ACADJOU ET DE PALME - ,"","",""
"",RB P/N-13-A-011,FADELE & FILS,PRODUITS FORESTIERS - VENTE DE ,Agblangandan S/KPODJI LOT/ 320-P ,PP,HOUENOUVO C. 
240,"","",COQUILLES DE NOIX - DIVERS ,TEL/ 98 50 95 10,"",Simon
"","","",COMMERCE: IMPORTATION ET EXPORTATION ,"","",""
"",RB/PN/13 B 384 DU16/09/13,FAJAR MOTORS,DE VEHICULES AUTOMOBILES D'OCCASION - PIECES DE RECHANGES ET D'ACCESSOIRES ,ADJARRA Honvié C/SB M/SON TETEDE TEL/ 97 78 77 87,PM,TETEDE Fadjiri
241,"","",AUTOMOBILES NEUFS - PNEUMATIQUE - ,"","",""
"","","",COMMERCE: IMPORTATION DE VEHICULES ,"","",""
"",RB/PN/13 B 361 DU26/08/13,FAKAL INTER,D'OCCASION - PIECES DE RECHANGES ET D'ACCESSOIRES AUTOMOBILES NEUFS ET ,Porto-Novo Anavié C/SB M/SON GNANDA TEL/ 66 00 94 12,PM,GNANDA YAYA Faïssol
242,"","",D'OCCASION - PNEUMATIQUE - TRANSPORT - ,"","",""
"","","",SOUDURE - ACHAT ET VENTE DES PRODUITS ,"","",""
"",RB P/N 13 A 208,FAMAIS/AS MDD,METALLIQUES ET EN PLATIQUES - PRODUITS ,Gbokpa S/KPODJI C/SB TEL/ 97 52 88 ,PP,FADONOUGBO M. 
243,"","",AGRICOLES - FORESTIERS - ELEVAGE - DIVERS,55 ,"",Isaac
"","","",COMMERCE:  IMPORTATION  DE VEHICULES ,"","",""
"",RB/PN/13 B 441 DU18/11/13,FARABESS,AUTOMOBILES D'OCCASION ET NEUFS -  PNEUMATIQUES - TRANSPORTS - ,Porto-Novo Kandévié LOT/128-A TEL/97 56 99 25,PM,EBE Farid
244,"","",INFORMATIQUES - BTP - QUINCAILLERIE - ,"","",""
"","","","COMMERCE: L’achat, la vente, l’importation et ","","",""
"",RB/PN/13 B 390 DU18/09/13,FAT INTER,"l’exportation de véhicules automobiles d’occasion, de camions, ainsi que de pièces de rechange et ",Porto-Novo Kandévié C/SB M/SON FATIOU TEL/97 39 12 59,PM,FATIOU Abdel Anziz
245,"","",d’accessoire automobiles neufs et d’occasion ; La ,"","",""
"","","",MACHINES AGRICOLES - BTP - MATERIELS ,"","",""
"",RB P/N-13-A-159,FATIOU'S TRADE,INFORMATIQUES - TEXTILES - QUINCAILLERIE - AGROALIMENTAIRE - VENTE DES ENGINS DE ,Hounsouko P/NOVO LOT/ 238-O TEL/ 97 60 21 61,PP,BAKARY Fatiou
246,"","",BTP - VEHICULES D'OCCASION - DIVERS,"","",""
"","","",FABRICATION DES EMBALLAGES DE TOILES ,"","",""
"",RB/PN/ 13 A 225,FELBOY,CIREES - PRODUCTION D'EAU EN SACHETS - ,Ouando P/NLOT/ 920-h TEL/ 97 09 09 53,PP,YENOU T. Félix
"","","",PRODUCTION ET TRANSFORMATION DES NOIX ,"","",""
247,"","","DE PALME, SCIERIE - PRODUITS FORESTIERS","","",""
"","","",SERVICE: AGENCE DE VOYAGE - VENTE DE ,"","",""
"",RB/PN/13 A 441 DU15/07/13,FEMI OLUWATOBI,BILLETS D'AVION - LOCATION DE VEHICULES - HOTELLERIE ET TOURISME - DIVERSES ,ADJARRA Kpadovié C/SB TEL/97 85 40 00,PP,GUEDEGBE Epse ADIKO Assiba Sidonie
248,"","",PRESTATIONS - BTP - COMMERCE GENERAL ,"","",Rufine
"","","",COMMERCE: PRODUCTION ET ,"","",""
"",RB/PN/13 A 696 ,FERME AGROPASTORALE ,COMMERCIALISATION DES PRODUITS ,Sakété Takon C/SB M/SON KEKE TEL/66 ,"",KEKE Sègbégnon 
"",DU13/12/12,ADJIGNON-KEKE ET FILS,AGRICOLES - ELEVAGE - COMMERCE GENERAL ,59 18 35,PP,Ibrahim
249,"","",TE DIVERS,"","",""
250,"RB/PN/13 A 350 DU16/05/13","FERME MODERNE GADO (FERMOGADO)","COMMERCE: PRODUCTION - FORMATION - DIVERSES PRESTATIONS DE SERVICES - MATERIELS ET FOURNITURES SCOLAIRES - CAFETERIA - RESTAURATION - SERVICE","Porto-Novo TokpotaII ZIP/ 4-76-B TEL/ 97 06 74 98",PP
